N;Endereço;Ebionita;Brit Hadasha Netzari;BJ;ACF;ARC;BRP;SBP;RCS;ARA;AKJ;TIS;NA28;PEH;PHA;PYP
451;Mat 13:55;Não é este o filho do ferreiro e Miryam? Não conhecem vocês a todos estes: sua mãe Miryam, seus irmãos: Gimy Ya'akov, Yosseph, e Shimon e Yehudá,;Não é este o filho do carpinteiro? e não se chama sua mãe Miriyam, e seus irmãos Ya'akov, Yosef, Shimon, e Yehudah?;Não é ele o filho do carpinteiro? Não se chama a mãe dele Maria e os seus irmãos Tiago, José, Simão e Judas? ; Não é este o filho do carpinteiro? e não se chama sua mãe Maria, e seus irmãos Tiago, e José, e Simão, e Judas?; Não é este o filho do carpinteiro? E não se chama sua mãe Maria, e seus irmãos, Tiago, e José, e Simão, e Judas?; Näo é este o filho do carpinteiro? e näo se chama sua mäe Maria, e seus irmäos Tiago, e José, e Simäo, e Judas?; Näo é este o filho do carpinteiro? Näo é Maria a sua mäe? E näo säo seus irmäos Tiago, José, Simäo e Judas?;Não é este o filho do carpinteiro? Não é Maria a sua mãe? E não são seus irmãos Tiago, José, Simão e Judas?; Não é este o filho do carpinteiro? Não se chama sua mãe Maria, e seus irmãos, Tiago, José, Simão e Judas?; Ora, não é este o filho do carpinteiro? O nome de sua mãe não é Maria, e o de seus irmãos: Tiago, José, Simão e Judas?;" οὐχ οὗτός ἐστιν ὁ τοῦ τέκτονος υἱός; οὐχ ἡ μήτηρ αὐτοῦ λέγεται Μαριὰμ καὶ οἱ ἀδελφοὶ αὐτοῦ Ἰάκωβος καὶ Ἰωσὴφ καὶ Σίμων καὶ Ἰούδας;";" οὐχ οὗτός ἐστιν ὁ τοῦ τέκτονος υἱός; οὐχ ἡ μήτηρ αὐτοῦ λέγεται Μαριὰμ καὶ οἱ ἀδελφοὶ αὐτοῦ Ἰάκωβος καὶ Ἰωσὴφ καὶ Σίμων καὶ Ἰούδας;";לא הוא הנא ברה דנגרא לא אמה מתקריא מרים ואחוהי יעקוב ויוסא ושׁמעון ויהודא;לָא ה֗וָא הָנָא בּרֵה דּנַגָּרָא֖ לָא אֵמֵה מֵת̅קַריָא מַ֣ריַם֑ וַאחַוה֗י֞ יַ֣עקֻוב̅ ו֣יָוסִא֑ ו֣שֵׁמעֻון וִ֣יהֻודָ̅א֑ ;  0dwhyw    Jw9m4w  0swyw  Bwq9y  Yhwx0w  Myrm  0yrqtm  hm0  f  0rgnd  hrb  0nh  0wh  f  
452;Mat 13:56;E suas irmãs? Não conhecem vocês que todos estes estão conosco? De onde veio a este todas estas coisas?;E não estão entre nós todas as suas irmãs? Donde lhe vem, pois, tudo isto?;"E as suas irmãs não vivem todas entre nós? Donde então lhe vêm todas essas coisas?"" "; E não estão entre nós todas as suas irmãs? De onde lhe veio, pois, tudo isto?; E não estão entre nós todas as suas irmãs? Donde lhe veio, pois, tudo isso?; E näo estäo entre nós todas as suas irmäs? De onde lhe veio, pois, tudo isto?;" Näo vivem cá também todas as suas irmäs? Donde lhe vem entäo tudo isto?""";"Não vivem cá também todas as suas irmãs? Donde lhe vem então tudo isto?"""; Não vivem entre nós todas as suas irmãs? Donde lhe vem, pois, tudo isto?; Não vivem entre nós todas as suas irmãs? Portanto, de onde obteve todos esses poderes?”;" καὶ αἱ ἀδελφαὶ αὐτοῦ οὐχὶ πᾶσαι πρὸς ἡμᾶς εἰσιν; πόθεν οὖν τούτῳ ταῦτα πάντα;";" καὶ αἱ ἀδελφαὶ αὐτοῦ οὐχὶ πᾶσαι πρὸς ἡμᾶς εἰσιν; πόθεν οὖν τούτῳ ταῦτα πάντα;";ואחותה כלהין לא הא לותן אנין אימכא לה הכיל להנא הלין כלהין;וַאחוָתֵ̅ה֞ כֻּלהֵין֑ לָא הָא לוָתַ̅ן אֵנֵין֑֞ אַימֵכָּא לֵה הָכִ̅יל להָנָא הָלֵין כֻּלהֵין֖ ;  Nyhlk  Nylh  0nhl  Lykh  hl  0kmy0  Nyn0  Jtwl  0h  f  Nyhlk  htwx0w  
453;Mat 13:57;E estavam confundidos acerca deleE Yeshua lhes contestou: Não há profeta sem honra, exceto em sua terra, em sua cidade e em sua casa.;E escandalizavam−se dele. Yeshua, porém, lhes disse: Um profeta não fica sem honra senão na sua terra e na sua própria casa.;"E se escandalizavam dele. Mas Jesus lhes disse: ""Não há profeta sem honra, exceto em sua pátria e em sua casa"". "; E escandalizavam-se nele. Jesus, porém, lhes disse: Não há profeta sem honra, a não ser na sua pátria e na sua casa.; E escandalizavam-se nele. Jesus, porém, lhes disse: Não há profeta sem honra, a não ser na sua pátria e na sua casa.; E escandalizavam-se nele. Jesus, porém, lhes disse: Näo há profeta sem honra, a näo ser na sua pátria e na sua casa.;" Por essa razäo näo queriam nada com ele. Mas Jesus lembrou-lhes: ""Nenhum profeta é desprezado a näo ser na sua terra e no meio da sua família.""";"Por essa razão não queriam nada com ele. Mas Jesus lembrou-lhes: ""Nenhum profeta é desprezado a não ser na sua terra e no meio da sua família."""; E escandalizavam-se nele. Jesus, porém, lhes disse: Não há profeta sem honra, senão na sua terra e na sua casa.; E ficavam escandalizados por causa dele. Entretanto, Jesus lhes afirmou: “Não há profeta sem honra, a não ser em sua própria terra, e em sua própria casa”.; καὶ ἐσκανδαλίζοντο ἐν αὐτῷ. ὁ δὲ Ἰησοῦς εἶπεν αὐτοῖς· οὐκ ἔστιν προφήτης ἄτιμος εἰ μὴ ἐν τῇ ἰδίᾳ πατρίδι καὶ ἐν τῇ οἰκίᾳ αὐτοῦ.; καὶ ἐσκανδαλίζοντο ἐν αὐτῷ. ὁ δὲ Ἰησοῦς εἶπεν αὐτοῖς· οὐκ ἔστιν προφήτης ἄτιμος εἰ μὴ ἐν τῇ πατρίδι καὶ ἐν τῇ οἰκίᾳ αὐτοῦ.;ומתכשׁלין הוו בה הו דין ישׁוע אמר להון לית נביא דצעיר אלא במדינתה ובביתה;ומֵת̅כַּשׁלִין ה֗וַו בֵּה ס הֻו דֵּין יֵ֣שֻׁוע אֵמַר להֻו֖ן לַיתּ נבִ̅יָא דַּצעִיר֑ אֵלָא בַּמדִ̅ינ֗תֵּה֖ וַב̅בַ̅יתֵּה֖ ;  htybbw    htnydmb  f0  ry9cd  0ybn  tyl  Jwhl  rm0  (w4y  Nyd  wh  hb  wwh  Nyl4ktmw  
454;Mat 13:58;E não quis fazer ali sinal algum por causa da pouca emuná deles.;E não fez ali muitos milagres, por causa da incredulidade deles.;E não fez ali muitos milagres, por causa da incredulidade deles. ; E não fez ali muitas maravilhas, por causa da incredulidade deles.; E não fez ali muitas maravilhas, por causa da incredulidade deles.; E näo fez ali muitas maravilhas, por causa da incredulidade deles.; E por causa da falta de fé deles, Jesus näo fez ali muitos milagres.;E por causa da falta de fé deles, Jesus não fez ali muitos milagres.; E não fez ali muitos milagres, por causa da incredulidade deles.; E Jesus não realizou ali muitos milagres, por causa da falta de fé daquelas pessoas.; καὶ οὐκ ἐποίησεν ἐκεῖ δυνάμεις πολλὰς διὰ τὴν ἀπιστίαν αὐτῶν.; καὶ οὐκ ἐποίησεν ἐκεῖ δυνάμεις πολλὰς διὰ τὴν ἀπιστίαν αὐτῶν.;ולא עבד תמן חילא סגיאא מטל לא הימנותהון;ולָא עבַ̅ד̅ תַּמָן חַילֵא֞ סַגִּיֵאא֑֞ מֵטֻל לָא הַימָנֻות̅הֻון ס ;  Jwhtwnmyh  f  L=m  00ygs  fyx  Nmt  db9  fw  
455;Mat 14:1;Naquele tempo Herod o Tetrarca ouviu o informe concernente a Yeshua,;Naquele tempo Herod, o tetrarca, ouviu a fama de Yeshua,;Naquele tempo, Herodes, o tetrarca, veio a conhecer a fama de Jesus; NAQUELE tempo ouviu Herodes, o tetrarca, a fama de Jesus,; Naquele tempo, ouviu Herodes, o tetrarca, a fama de Jesus.; Naquele tempo ouviu Herodes, o tetrarca, a fama de Jesus,; Naquele tempo, Herodes, o governador da Galileia, ouviu falar de Jesus;Naquele tempo, Herodes, o governador da Galileia, ouviu falar de Jesus; Por aquele tempo, ouviu o tetrarca Herodes a fama de Jesus; Por aquele tempo Herodes, o tetrarca, ouviu os relatos sobre os feitos de Jesus.; Ἐν ἐκείνῳ τῷ καιρῷ ἤκουσεν Ἡρώδης ὁ τετραάρχης τὴν ἀκοὴν Ἰησοῦ,; Ἐν ἐκείνῳ τῷ καιρῷ ἤκουσεν Ἡρῴδης ὁ τετραάρχης τὴν ἀκοὴν Ἰησοῦ,;בהו דין זבנא שׁמע הרודס טטררכא שׁמעה דישׁוע;בּהַו דֵּין זַב̅נָא֑ שׁמַע הֵ֣רָודֵ̅ס טֵטרַרכַ̅א שֵׁמעֵה דּ֣יֵשֻׁוע֖ ;  (w4yd  h9m4  0krr==  Sdwrh  (m4  0nbz  Nyd  whb  
456;Mat 14:2;E disse aos seus servos: Eis que eu acredito que este que está fazendo estas maravilhas é Yochanan o Imersor.;"e disse aos seus cortesãos: Este é Yochanan, o Imersor; ele ressuscitou dentre os mortos, e por isso estes poderes milagrosos operam nele.";"e disse aos seus servidores: ""Certamente se trata de João Batista: ele foi ressuscitado dos mortos e é por isso que os poderes operam através dele!"" ";" E disse aos seus criados: Este é João o Batista; ressuscitou dos mortos, e por isso estas maravilhas operam nele.";" E disse aos seus criados: Este é João Batista; ressuscitou dos mortos, e, por isso, estas maravilhas operam nele.";" E disse aos seus criados: Este é Joäo o Batista; ressuscitou dos mortos, e por isso estas maravilhas operam nele.";" e disse aos subordinados que estavam com ele: ""Este homem é Joäo Baptista; ele ressuscitou dos mortos e por isso é que tem poder para fazer os milagres que faz.""";"e disse aos subordinados que estavam com ele: ""Este homem é João Batista; ele ressuscitou dos mortos e por isso é que tem poder para fazer os milagres que faz.""";" e disse aos que o serviam: Este é João Batista; ele ressuscitou dos mortos, e, por isso, nele operam forças miraculosas.";" E disse aos seus servos: “Este é João Batista; ele ressuscitou dos mortos e, por isso, nele operam poderes para fazer milagres."; καὶ εἶπεν τοῖς παισὶν αὐτοῦ· οὗτός ἐστιν Ἰωάννης ὁ βαπτιστής· αὐτὸς ἠγέρθη ἀπὸ τῶν νεκρῶν, καὶ διὰ τοῦτο αἱ δυνάμεις ἐνεργοῦσιν ἐν αὐτῷ.; καὶ εἶπεν τοῖς παισὶν αὐτοῦ· οὗτός ἐστιν Ἰωάννης ὁ βαπτιστής· αὐτὸς ἠγέρθη ἀπὸ τῶν νεκρῶν καὶ διὰ τοῦτο αἱ δυνάμεις ἐνεργοῦσιν ἐν αὐτῷ.;ואמר לעבדוהי הנו יוחנן מעמדנא הו קם מן בית מיתא מטל הנא חילא מסתערין בה;וֵאמַר לעַב̅דַּוה֗י֖֞ הָנַו יֻ֣וחַנָן מַעמדָ̅נָא֖ הֻו קָם מֵן בֵּית̅־מִיתֵ̅א֖֞ מֵטֻל הָנָא חַילֵא֞ מֵסתַּערִין בֵּה ס ;  hb    Nyr9tsm  fyx  0nh  L=m  Fym  tyb  Nm  Mq  wh  0ndm9m  Nnxwy  wnh  Yhwdb9l  rm0w  
457;Mat 14:3;Isto foi porque Herod tinha prendido Yochanan naqueles dias, e tinha-o atado na prisão, porque ele estava repreendendo que não podia tomar a Heredisah por esposa, porque ela era esposa de seu irmão.;"Pois Herod havia prendido a Yochanan, e, maniatando−o, o guardara no cárcere, por causa de Herodias, mulher de seu irmão Felipe;";Herodes, com efeito, havia mandado prender João. E o mandara prender, acorrentar e lançar no cárcere, por causa de Herodíades, a mulher de seu irmão Filipe,;" Porque Herodes tinha prendido João, e tinha-o maniatado e encerrado no cárcere, por causa de Herodias, mulher de seu irmão Filipe;";" Porque Herodes tinha prendido João e tinha-o manietado e encerrado no cárcere por causa de Herodias, mulher de seu irmão Filipe;";" Porque Herodes tinha prendido Joäo, e tinha-o maniatado e encerrado no cárcere, por causa de Herodias, mulher de seu irmäo Filipe;"; De facto, Herodes tinha mandado prender Joäo e tinha-o metido na cadeia. Fez isso por causa de Herodias, esposa de seu irmäo Filipe.;De facto, Herodes tinha mandado prender João e tinha-o metido na cadeia. Fez isso por causa de Herodias, esposa de seu irmão Filipe.;" Porque Herodes, havendo prendido e atado a João, o metera no cárcere, por causa de Herodias, mulher de Filipe, seu irmão;"; Porque Herodes tinha mandado prender João, amarrar suas mãos e jogá-lo na prisão. Isso por causa de Herodias, mulher de Filipe, seu irmão.; ὁ γὰρ Ἡρώδης κρατήσας τὸν Ἰωάννην ἔδησεν καὶ ἐν φυλακῇ ἀπέθετο διὰ Ἡρωδιάδα τὴν γυναῖκα [῟φιλίππου] τοῦ ἀδελφοῦ αὐτοῦ.; Ὁ γὰρ Ἡρῴδης κρατήσας τὸν Ἰωάννην ἔδησεν [αὐτὸν] καὶ ἐν φυλακῇ ἀπέθετο διὰ Ἡρῳδιάδα τὴν γυναῖκα Φιλίππου τοῦ ἀδελφοῦ αὐτοῦ·;הו גיר הרודס אחד הוא ליוחנן ואסרה וארמיה בית אסירא מטל הרודיא אנתת פיליפוס אחוהי;הַו גֵּיר הֵ֣רָודֵ̅ס אֵחַד̅ ה֗וָא ל֣יֻוחַנָן֑ וַאסרֵה וַארמיֵה בֵּית̅־אַסִירֵא֖֞ מֵטֻל הֵ֣רָודִ̅יַא֖ אַנ֗תַּת̅ פִ֣̅ילִיפָּוס אַחֻוה֗י֖ ;  Yhwx0  Swpylyp    ttn0  0ydwrh  L=m  0rys0  tyb  hymr0w  hrs0w  Nnxwyl  0wh  dx0  Sdwrh  ryg  wh  
458;Mat 14:4;Pois Yochanan lhe dizia: Não te é permitido.;porque Yochanan lhe dizia: Não te é lícito possuí−la.;"pois João lhe dizia: ""Não te é permitido tê-la por mulher""."; Porque João lhe dissera: Não te é lícito possuí-la.; porque João lhe dissera: Não te é lícito possuí-la.; Porque Joäo lhe dissera: Näo te é lícito possuí-la.;" É que Joäo avisava constantemente Herodes: ""Näo tens o direito de viver com ela.""";"É que João avisava constantemente Herodes: ""Não tens o direito de viver com ela."""; pois João lhe dizia: Não te é lícito possuí-la.; Pois João o havia advertido, dizendo: “Não te é lícito esposá-la”.; ἔλεγεν γὰρ ὁ Ἰωάννης αὐτῷ· οὐκ ἔξεστίν σοι ἔχειν αὐτήν.; ἔλεγεν γὰρ ὁ Ἰωάννης αὐτῷ· οὐκ ἔξεστίν σοι ἔχειν αὐτήν.;אמר הוא לה גיר יוחנן דלא שׁליט דתהוא לך אנתתא;אָמַר ה֗וָא לֵה גֵּיר יֻ֣וחַנָן֑ דּלָא שַׁלִיט דּתֵ̅הוֵא לָך̅ אַנ֗תּתָ̅א֖ ;  Ftn0  Kl  0whtd  +yl4  fd  Nnxwy  ryg  hl  0wh  rm0  
459;Mat 14:5;E eis que Herod queria matá-lo, porém temia o povo, que cria que ele era um profeta entre eles.;"E queria matá−lo, mas temia o povo; porque o tinham como profeta.";Queria matá-lo, mas tinha medo da multidão, porque esta o considerava um profeta.;" E, querendo matá-lo, temia o povo; porque o tinham como profeta."; E, querendo matá-lo, temia o povo, porque o tinham como profeta.;" E, querendo matá-lo, temia o povo; porque o tinham como profeta."; Herodes queria matá-lo, mas tinha medo do povo porque todos consideravam Joäo como um profeta.;Herodes queria matá-lo, mas tinha medo do povo porque todos consideravam João como um profeta.; E, querendo matá-lo, temia o povo, porque o tinham como profeta.; Herodes, portanto, queria matá-lo, mas temia o povo, pois este o considerava profeta.; καὶ θέλων αὐτὸν ἀποκτεῖναι ἐφοβήθη τὸν ὄχλον, ὅτι ὡς προφήτην αὐτὸν εἶχον.; καὶ θέλων αὐτὸν ἀποκτεῖναι ἐφοβήθη τὸν ὄχλον, ὅτι ὡς προφήτην αὐτὸν εἶχον.;וצבא הוא למקטלה ודחל הוא מן עמא דאיך דלנביא אחידין הוו לה;וצָבֵ̅א ה֗וָא למֵקטלֵה֖ ודָ̅חֵל ה֗וָא מֵן עַמָא֖ דַּאיך̅ דּלַנבִ̅יָא אַחִידִ̅ין ה֗וַו לֵה ס ;  hl  wwh  Nydyx0  0ybnld  Ky0d  0m9  Nm  0wh  Lxdw  hl=qml  0wh  0bcw  
460;Mat 14:6;E na festa de aniversário de Herod, ele chamou os nobres do reino para comer com ele, e enquanto comiam, sua filha dançou entre eles e agradou a Herod.;Festejando−se, porém, o dia natalício de Herod, a filha de Herodias dançou no meio dos convivas, e agradou a Herod,;Ora, por ocasião do aniversário de Herodes, a filha de Herodíades dançou ali e agradou a Herodes.; Festejando-se, porém, o dia natalício de Herodes, dançou a filha de Herodias diante dele, e agradou a Herodes.; Festejando-se, porém, o dia natalício de Herodes, dançou a filha de Herodias diante dele e agradou a Herodes,; Festejando-se, porém, o dia natalício de Herodes, dançou a filha de Herodias diante dele, e agradou a Herodes.; Ora no dia dos anos de Herodes, a filha de Herodias dançou diante de todos e agradou muito a Herodes.;Ora no dia dos anos de Herodes, a filha de Herodias dançou diante de todos e agradou muito a Herodes.; Ora, tendo chegado o dia natalício de Herodes, dançou a filha de Herodias diante de todos e agradou a Herodes.; Mas, tendo chegado o dia da celebração do aniversário de Herodes, a filha de Herodias dançou diante de todos, e muito agradou a Herodes.; γενεσίοις δὲ γενομένοις τοῦ Ἡρώδου ὠρχήσατο ἡ θυγάτηρ τῆς Ἡρῳδιάδος ἐν τῷ μέσῳ καὶ ἤρεσεν τῷ Ἡρώδῃ,; Γενεσίοις δὲ γενομένοις τοῦ Ἡρῴδου ὠρχήσατο ἡ θυγάτηρ τῆς Ἡρῳδιάδος ἐν τῷ μέσῳ καὶ ἤρεσεν τῷ Ἡρῴδῃ,;כד הוא דין בית ילדה דהרודס רקדת ברתה דהרודיא קדם סמיכא ושׁפרת לה להרודס;כַּד̅ הוָא דֵּין בֵּית̅־יַלדֵּה דּ֣הֵרָודֵ̅ס֑ רַקדַ̅ת̅ בַּרתָ̅ה דּ֣הֵרָודִ̅יַא קדָ̅ם סמִיכֵ̅א֖֞ ושֵׁפ̅רַת̅ לֵה ל֣הֵרָודֵ̅ס֖ ;  Sdwrhl    hl  trp4w  0kyms  Mdq  0ydwrhd  htrb  tdqr  Sdwrhd  hdly  tyb  Nyd  0wh  dk  
461;Mat 14:7;"E ele jurou dar-lhe qualquer coisa que ela pedisse;";pelo que este prometeu com juramento dar−lhe tudo o que pedisse.;Por essa razão prometeu, sob juramento, dar-lhe qualquer coisa que pedisse.;" Por isso prometeu, com juramento, dar-lhe tudo o que pedisse;"; pelo que prometeu, com juramento, dar-lhe tudo o que pedisse.;" Por isso prometeu, com juramento, dar-lhe tudo o que pedisse;"; Este jurou dar-lhe tudo o que ela pedisse.;Este jurou dar-lhe tudo o que ela pedisse.; Pelo que prometeu, com juramento, dar-lhe o que pedisse.; Por conta disso, ele lhe prometeu, sob juramento, conceder qualquer pedido que ela desejasse fazer.; ὅθεν μεθ᾽ ὅρκου ὡμολόγησεν αὐτῇ δοῦναι ὃ ἐὰν αἰτήσηται.; ὅθεν μεθ᾽ ὅρκου ὡμολόγησεν αὐτῇ δοῦναι ὃ ἐὰν αἰτήσηται.;מטל הנא במומתא ימא לה דנתל לה כלמדם דתשׁאל;מֵטֻל הָנָא בּמַומָתָ̅א יִמָא לָה֑ דּנֵתֵּל לָה כֻּלמֵדֵּם דּתֵ̅שַׁאל֖ ;  L04td  Mdmlk  hl  Ltnd  hl  0my  Fmwmb  0nh  L=m  
462;Mat 14:8;E a menina, instruída por sua mãe, pediu a cabeça de Yochanan o Imersor num prato.;E instigada por sua mãe, disse ela: Dá−me aqui num prato a cabeça de Yochanan, o Imersor.;"Ela, instruída por sua mãe, disse: ""Dá-me, aqui num prato, a cabeça de João Batista""."; E ela, instruída previamente por sua mãe, disse: Dá-me aqui, num prato, a cabeça de João o Batista.; E ela, instruída previamente por sua mãe, disse: Dá-me aqui num prato a cabeça de João Batista.; E ela, instruída previamente por sua mäe, disse: Dá-me aqui, num prato, a cabeça de Joäo o Batista.;" Entäo ela, pressionada pela mäe, fez este pedido: ""Dá-me agora mesmo, numa bandeja, a cabeça de Joäo Baptista.""";"Então ela, pressionada pela mãe, fez este pedido: ""Dá-me agora mesmo, numa bandeja, a cabeça de João Batista."""; Então, ela, instigada por sua mãe, disse: Dá-me, aqui, num prato, a cabeça de João Batista.; Foi então que ela, influenciada por sua mãe, pediu: “Dá-me aqui, num prato, a cabeça de João Batista”.; ἡ δὲ προβιβασθεῖσα ὑπὸ τῆς μητρὸς αὐτῆς· δός μοι, φησίν, ὧδε ἐπὶ πίνακι τὴν κεφαλὴν Ἰωάννου τοῦ βαπτιστοῦ.; ἡ δὲ προβιβασθεῖσα ὑπὸ τῆς μητρὸς αὐτῆς· δός μοι, φησίν, ὧδε ἐπὶ πίνακι τὴν κεφαλὴν Ἰωάννου τοῦ βαπτιστοῦ.;הי דין מטל דמלפא הות לאמה אמרת הב לי הרכא בפינכא רשׁה דיוחנן מעמדנא;הִי דֵּין מֵטֻל דּמַלפָ̅א ה֗וָת̅ לֵאמָה֖ אֵמרַת֖̅ הַב̅ לִי הָרכָּא בּפִ̅ינכָּא֑ רִשֵׁה דּ֣יֻוחַנָן מַעמדָ̅נָא֖ ;  0ndm9m  Nnxwyd  h4r  0knypb  0krh  Yl  Bh  trm0  hm0l  twh  0plmd  L=m  Nyd  Yh  
463;Mat 14:9;E o rei estava muito triste, por causa do juramento que havia feito diante dos convidados, por isso ordenou que se sucedesse assim.;"Entristeceu−se, então, o rei; mas, por causa do juramento, e dos que estavam à mesa com ele, ordenou que se lhe desse,";O rei se entristeceu. Entretanto, por causa do seu juramento e dos convivas presentes, ordenou que lha dessem. ; E o rei afligiu-se, mas, por causa do juramento, e dos que estavam à mesa com ele, ordenou que se lhe desse.; E o rei afligiu-se, mas, por causa do juramento e dos que estavam à mesa com ele, ordenou que se lhe desse.; E o rei afligiu-se, mas, por causa do juramento, e dos que estavam à mesa com ele, ordenou que se lhe desse.; O rei ficou triste, mas por causa do juramento e dos convidados ordenou que lhe fosse dada;O rei ficou triste, mas por causa do juramento e dos convidados ordenou que lhe fosse dada;" Entristeceu-se o rei, mas, por causa do juramento e dos que estavam com ele à mesa, determinou que lha dessem;";" O rei ficou angustiado; contudo, por causa do juramento e da presença dos convidados, ordenou que lhe fosse dado o que ela pedira."; καὶ λυπηθεὶς ὁ βασιλεὺς διὰ τοὺς ὅρκους καὶ τοὺς συνανακειμένους ἐκέλευσεν δοθῆναι,; καὶ λυπηθεὶς ὁ βασιλεὺς διὰ τοὺς ὅρκους καὶ τοὺς συνανακειμένους ἐκέλευσεν δοθῆναι,;וכרית לה למלכא מטל דין מומתא וסמיכא פקד דנתיהב לה;וכֵ̅ריַת̅ לֵה למַלכָּא֖ מֵטֻל דֵּין מַומָתָ̅א וַסמִיכֵ̅א֑֞ פּקַד̅ דּנֵתִ̅יהֵב̅ לָה֖ ;  hl  Bhytnd  dqp  0kymsw  Fmwm  Nyd  L=m  0klml  hl  tyrkw  
464;Mat 14:10;E mandou matar Yochanan na prisão.;"e mandou degolar a Yochanan no cárcere;";"E mandou decapitar João no cárcere. ""A cabeça foi trazida num prato e entregue à moça, que a levou à sua mãe."; E mandou degolar João no cárcere.; E mandou degolar João no cárcere,; E mandou degolar Joäo no cárcere.; e mandou alguém à cadeia cortar a cabeça de Joäo.;e mandou alguém à cadeia cortar a cabeça de João.; e deu ordens e decapitou a João no cárcere.; Então mandou decapitar João na prisão.; καὶ πέμψας ἀπεκεφάλισεν Ἰωάννην ἐν τῇ φυλακῇ·; καὶ πέμψας ἀπεκεφάλισεν [τὸν] Ἰωάννην ἐν τῇ φυλακῇ.;ושׁדר פסקה רשׁה דיוחנן בית אסירא;ושַׁדַּר פַּסקֵה רִשֵׁה דּ֣יֻוחַנָ֖ן בֵּית̅־אַסִירֵא֖֞ ;  0rys0  tyb  Nnxwyd  h4r  hqsp  rd4w  
465;Mat 14:11;E trouxeram a cabeça de Yochanan num prato, e dada à menina, e a menina a deu a sua mãe.;e a cabeça foi trazida num prato, e dada à jovem, e ela a levou para a sua mãe.;Não consta na obra original.; E a sua cabeça foi trazida num prato, e dada à jovem, e ela a levou a sua mãe.; e a sua cabeça foi trazida num prato e dada à jovem, e ela a levou a sua mãe.; E a sua cabeça foi trazida num prato, e dada à jovem, e ela a levou a sua mäe.; Trouxeram-na numa bandeja e deram-na à rapariga, que a foi levar à mäe.;Trouxeram-na numa bandeja e deram-na à rapariga, que a foi levar à mãe.; Foi trazida a cabeça num prato e dada à jovem, que a levou a sua mãe.; Sua cabeça foi levada num prato e entregue à jovem, que a entregou à mãe.; καὶ ἠνέχθη ἡ κεφαλὴ αὐτοῦ ἐπὶ πίνακι καὶ ἐδόθη τῷ κορασίῳ, καὶ ἤνεγκεν τῇ μητρὶ αὐτῆς.; καὶ ἠνέχθη ἡ κεφαλὴ αὐτοῦ ἐπὶ πίνακι καὶ ἐδόθη τῷ κορασίῳ, καὶ ἤνεγκεν τῇ μητρὶ αὐτῆς.;ואיתי רשׁה בפינכא ואתיהב לטליתא ואיתיתה לאמה;וַאיתִּי רִשֵׁה בּפִ̅ינכָּא֑ וֵאתִ̅יהֵב̅ לַטלִיתָ̅א֖ וַאיתּיַתֵ̅ה לֵאמָה֖ ;  hm0l  htyty0w  Fyl=l  Bhyt0w  0knypb  h4r  Yty0w  
466;Mat 14:12;"Então chegaram os discípulos de Yochanan, e levaram o corpo, e o enterraram; e os discípulos foram contar o assunto a Yeshua.";"Então vieram os seus talmidim, levaram o corpo e o sepultaram; e foram anunciá−lo a Yeshua.";Vieram então os discípulos de João, pegaram o seu corpo e o sepultaram. Em seguida, foram anunciar o ocorrido a Jesus. ;" E chegaram os seus discípulos, e levaram o corpo, e o sepultaram; e foram anunciá-lo a Jesus."; E chegaram os seus discípulos, e levaram o corpo, e o sepultaram, e foram anunciá-lo a Jesus.;" E chegaram os seus discípulos, e levaram o corpo, e o sepultaram; e foram anunciá-lo a Jesus."; Os discípulos de Joäo foram buscar o corpo e sepultaram-no. Depois levaram a notícia a Jesus.;Os discípulos de João foram buscar o corpo e sepultaram-no. Depois levaram a notícia a Jesus.;" Então, vieram os seus discípulos, levaram o corpo e o sepultaram; depois, foram e o anunciaram a Jesus."; Os discípulos de João vieram, levaram seu corpo e o sepultaram. E foram contar a Jesus o que havia acontecido. A multiplicação dos pães; καὶ προσελθόντες οἱ μαθηταὶ αὐτοῦ ἦραν τὸ πτῶμα καὶ ἔθαψαν αὐτόν, καὶ ἐλθόντες ἀπήγγειλαν τῷ Ἰησοῦ.; καὶ προσελθόντες οἱ μαθηταὶ αὐτοῦ ἦραν τὸ πτῶμα καὶ ἔθαψαν αὐτὸ[ν] καὶ ἐλθόντες ἀπήγγειλαν τῷ Ἰησοῦ.;וקרבו תלמידוהי שׁקלו שׁלדה קברו ואתו חויו לישׁוע;וַקרֵב̅ו תַּלמִידַ̅וה֗י֖֞ שׁקַלו שׁלַדֵּה קבַ̅רו֑ וֵאתַ̅ו חַוִיו ל֣יֵשֻׁוע סּ סּ ;  (w4yl  wywx  wt0w  wrbq  hdl4  wlq4  Yhwdymlt  wbrqw  
